time,nb_sleeping,nb_switching_on,nb_switching_off,nb_idle,nb_computing
4e-10,0,0,0,11,5
2,0,0,0,7,9
6,0,0,0,2,14
148,0,0,0,7,9
148,0,0,0,3,13
152,0,0,0,7,9
152,0,0,0,2,14
153,0,0,0,7,9
153,0,0,0,3,13
297,0,0,0,7,9
297,0,0,0,2,14
299,0,0,0,7,9
299,0,0,0,4,12
301,0,0,0,8,8
301,0,0,0,3,13
301,0,0,0,0,16
447,0,0,0,3,13
447,0,0,0,0,16
448,0,0,0,5,11
448,0,0,0,8,8
448,0,0,0,4,12
448,0,0,0,0,16
451,0,0,0,5,11
451,0,0,0,0,16
594,0,0,0,3,13
595,0,0,0,7,9
595,0,0,0,2,14
597,0,0,0,6,10
597,0,0,0,1,15
601,0,0,0,6,10
601,0,0,0,2,14
745,0,0,0,7,9
745,0,0,0,2,14
748,0,0,0,7,9
748,0,0,0,1,15
753,0,0,0,5,11
753,0,0,0,0,16
896,0,0,0,5,11
896,0,0,0,1,15
898,0,0,0,7,9
898,0,0,0,2,14
903,0,0,0,7,9
903,0,0,0,1,15
1044,0,0,0,5,11
1048,0,0,0,10,6
1048,0,0,0,4,12
1048,0,0,0,0,16
1051,0,0,0,6,10
1051,0,0,0,1,15
1195,0,0,0,7,9
1195,0,0,0,3,13
1199,0,0,0,7,9
1199,0,0,0,2,14
1200,0,0,0,7,9
1200,0,0,0,1,15
1345,0,0,0,5,11
1345,0,0,0,0,16
1348,0,0,0,5,11
1348,0,0,0,1,15
1351,0,0,0,7,9
1351,0,0,0,1,15
1493,0,0,0,6,10
1493,0,0,0,0,16
1499,0,0,0,4,12
1499,0,0,0,10,6
1499,0,0,0,7,9
1499,0,0,0,4,12
1499,0,0,0,1,15
1643,0,0,0,7,9
1643,0,0,0,2,14
1647,0,0,0,5,11
1647,0,0,0,0,16
1648,0,0,0,3,13
1650,0,0,0,6,10
1650,0,0,0,2,14
1793,0,0,0,7,9
1793,0,0,0,2,14
1796,0,0,0,7,9
1796,0,0,0,2,14
1798,0,0,0,6,10
1798,0,0,0,1,15
1940,0,0,0,6,10
1940,0,0,0,0,16
1948,0,0,0,5,11
1949,0,0,0,10,6
1949,0,0,0,4,12
1949,0,0,0,0,16
2089,0,0,0,6,10
2089,0,0,0,1,15
2099,0,0,0,7,9
2099,0,0,0,2,14
2101,0,0,0,6,10
2101,0,0,0,2,14
2237,0,0,0,7,9
2237,0,0,0,4,12
2237,0,0,0,1,15
2248,0,0,0,6,10
2248,0,0,0,3,13
2254,0,0,0,7,9
2254,0,0,0,3,13
2386,0,0,0,6,10
2386,0,0,0,1,15
2387,0,0,0,4,12
2397,0,0,0,7,9
2397,0,0,0,2,14
2403,0,0,0,6,10
2403,0,0,0,2,14
2534,0,0,0,7,9
2534,0,0,0,3,13
2534,0,0,0,0,16
2545,0,0,0,5,11
2545,0,0,0,1,15
2556,0,0,0,5,11
2684,0,0,0,8,8
2684,0,0,0,2,14
2685,0,0,0,6,10
2685,0,0,0,2,14
2698,0,0,0,6,10
2698,0,0,0,2,14
2835,0,0,0,8,8
2835,0,0,0,12,4
2835,0,0,0,7,9
2835,0,0,0,3,13
2848,0,0,0,7,9
2848,0,0,0,2,14
2979,0,0,0,6,10
2979,0,0,0,2,14
2989,0,0,0,7,9
2989,0,0,0,0,16
3001,0,0,0,5,11
3001,0,0,0,0,16
3129,0,0,0,4,12
3129,0,0,0,1,15
3136,0,0,0,8,8
3136,0,0,0,3,13
3151,0,0,0,8,8
3151,0,0,0,3,13
3280,0,0,0,6,10
3280,0,0,0,1,15
3288,0,0,0,6,10
3288,0,0,0,1,15
3299,0,0,0,6,10
3299,0,0,0,2,14
3427,0,0,0,7,9
3427,0,0,0,3,13
3427,0,0,0,0,16
3439,0,0,0,5,11
3439,0,0,0,1,15
3450,0,0,0,5,11
3577,0,0,0,8,8
3577,0,0,0,2,14
3578,0,0,0,6,10
3578,0,0,0,1,15
3590,0,0,0,5,11
3728,0,0,0,10,6
3728,0,0,0,4,12
3728,0,0,0,0,16
3732,0,0,0,6,10
3732,0,0,0,1,15
3875,0,0,0,5,11
3875,0,0,0,0,16
3878,0,0,0,6,10
3878,0,0,0,2,14
3882,0,0,0,7,9
3882,0,0,0,4,12
4023,0,0,0,9,7
4023,0,0,0,4,12
4023,0,0,0,1,15
4027,0,0,0,5,11
4027,0,0,0,2,14
4033,0,0,0,5,11
4033,0,0,0,1,15
4173,0,0,0,6,10
4173,0,0,0,3,13
4174,0,0,0,6,10
4174,0,0,0,1,15
4179,0,0,0,4,12
4179,0,0,0,0,16
4180,0,0,0,4,12
4323,0,0,0,7,9
4323,0,0,0,12,4
4323,0,0,0,7,9
4323,0,0,0,1,15
4330,0,0,0,5,11
4330,0,0,0,1,15
4470,0,0,0,7,9
4470,0,0,0,2,14
4473,0,0,0,7,9
4473,0,0,0,3,13
4482,0,0,0,7,9
4482,0,0,0,0,16
4618,0,0,0,5,11
4618,0,0,0,1,15
4619,0,0,0,5,11
4619,0,0,0,0,16
4636,0,0,0,7,9
4636,0,0,0,2,14
4768,0,0,0,6,10
4768,0,0,0,11,5
4789,0,0,0,16,0
