time,energy,event_type,wattmin,epower
3,4560.0,p,1520.0,1520.0
3,4560.0,p,1520.0,1520.0
3,4560.0,s,1520.0,1520.0
35,53200.0,p,1520.0,1520.0
35,53200.0,p,1520.0,1520.0
35,53200.0,p,1520.0,1520.0
35,53200.0,p,1520.0,1520.0
35,53200.0,s,1520.0,1520.0
155,235600.0,p,1520.0,1520.0
155,235600.0,p,1520.0,1520.0
155,235600.0,e,1520.0,1520.0
155,235600.0,p,1520.0,1520.0
155,235600.0,p,1520.0,1520.0
155,235600.0,p,1520.0,1520.0
155,235600.0,p,1520.0,1520.0
155,235600.0,s,1520.0,1520.0
183,278160.0,p,1520.0,1520.0
183,278160.0,p,1520.0,1520.0
183,278160.0,p,1520.0,1520.0
183,278160.0,p,1520.0,1520.0
183,278160.0,e,1520.0,1520.0
183,278160.0,p,1520.0,1520.0
183,278160.0,p,1520.0,1520.0
183,278160.0,p,1520.0,1520.0
183,278160.0,s,1520.0,1520.0
306,465120.0,p,1520.0,1520.0
306,465120.0,p,1520.0,1520.0
306,465120.0,p,1520.0,1520.0
306,465120.0,p,1520.0,1520.0
306,465120.0,e,1520.0,1520.0
306,465120.0,p,1520.0,1520.0
306,465120.0,p,1520.0,1520.0
306,465120.0,p,1520.0,1520.0
306,465120.0,s,1520.0,1520.0
334,507680.0,p,1520.0,1520.0
334,507680.0,p,1520.0,1520.0
334,507680.0,p,1520.0,1520.0
334,507680.0,e,1520.0,1520.0
334,507680.0,p,1520.0,1520.0
334,507680.0,p,1520.0,1520.0
334,507680.0,p,1520.0,1520.0
334,507680.0,p,1520.0,1520.0
334,507680.0,s,1520.0,1520.0
455,691600.0,p,1520.0,1520.0
455,691600.0,p,1520.0,1520.0
455,691600.0,p,1520.0,1520.0
455,691600.0,e,1520.0,1520.0
455,691600.0,p,1520.0,1520.0
455,691600.0,p,1520.0,1520.0
455,691600.0,p,1520.0,1520.0
455,691600.0,p,1520.0,1520.0
455,691600.0,s,1520.0,1520.0
481,731120.0,p,1520.0,1520.0
481,731120.0,p,1520.0,1520.0
481,731120.0,p,1520.0,1520.0
481,731120.0,p,1520.0,1520.0
481,731120.0,e,1520.0,1520.0
481,731120.0,p,1520.0,1520.0
481,731120.0,p,1520.0,1520.0
481,731120.0,p,1520.0,1520.0
481,731120.0,s,1520.0,1520.0
604,918080.0,p,1520.0,1520.0
604,918080.0,p,1520.0,1520.0
604,918080.0,p,1520.0,1520.0
604,918080.0,p,1520.0,1520.0
604,918080.0,e,1520.0,1520.0
604,918080.0,p,1520.0,1520.0
604,918080.0,p,1520.0,1520.0
604,918080.0,p,1520.0,1520.0
604,918080.0,s,1520.0,1520.0
633,962160.0,p,1520.0,1520.0
633,962160.0,p,1520.0,1520.0
633,962160.0,p,1520.0,1520.0
633,962160.0,e,1520.0,1520.0
633,962160.0,p,1520.0,1520.0
633,962160.0,p,1520.0,1520.0
633,962160.0,p,1520.0,1520.0
633,962160.0,p,1520.0,1520.0
633,962160.0,s,1520.0,1520.0
750,1140000.0,p,1520.0,1520.0
750,1140000.0,p,1520.0,1520.0
750,1140000.0,p,1520.0,1520.0
750,1140000.0,e,1520.0,1520.0
750,1140000.0,p,1520.0,1520.0
750,1140000.0,p,1520.0,1520.0
750,1140000.0,p,1520.0,1520.0
750,1140000.0,p,1520.0,1520.0
750,1140000.0,s,1520.0,1520.0
781,1187120.0,p,1520.0,1520.0
781,1187120.0,p,1520.0,1520.0
781,1187120.0,p,1520.0,1520.0
781,1187120.0,p,1520.0,1520.0
781,1187120.0,e,1520.0,1520.0
781,1187120.0,p,1520.0,1520.0
781,1187120.0,p,1520.0,1520.0
781,1187120.0,p,1520.0,1520.0
781,1187120.0,p,1520.0,1520.0
781,1187120.0,s,1520.0,1520.0
900,1368000.0,p,1520.0,1520.0
900,1368000.0,p,1520.0,1520.0
900,1368000.0,p,1520.0,1520.0
900,1368000.0,p,1520.0,1520.0
900,1368000.0,e,1520.0,1520.0
900,1368000.0,p,1520.0,1520.0
900,1368000.0,p,1520.0,1520.0
900,1368000.0,p,1520.0,1520.0
900,1368000.0,s,1520.0,1520.0
931,1415120.0,p,1520.0,1520.0
931,1415120.0,p,1520.0,1520.0
931,1415120.0,p,1520.0,1520.0
931,1415120.0,p,1520.0,1520.0
931,1415120.0,e,1520.0,1520.0
931,1415120.0,p,1520.0,1520.0
931,1415120.0,p,1520.0,1520.0
931,1415120.0,s,1520.0,1520.0
931,1415120.0,p,1520.0,1520.0
931,1415120.0,p,1520.0,1520.0
931,1415120.0,p,1520.0,1520.0
931,1415120.0,s,1520.0,1520.0
1047,1591440.0,p,1520.0,1520.0
1047,1591440.0,p,1520.0,1520.0
1047,1591440.0,p,1520.0,1520.0
1047,1591440.0,e,1520.0,1520.0
1047,1591440.0,p,1520.0,1520.0
1047,1591440.0,p,1520.0,1520.0
1047,1591440.0,p,1520.0,1520.0
1047,1591440.0,s,1520.0,1520.0
1079,1640080.0,p,1520.0,1520.0
1079,1640080.0,p,1520.0,1520.0
1079,1640080.0,e,1520.0,1520.0
1079,1640080.0,p,1520.0,1520.0
1079,1640080.0,p,1520.0,1520.0
1079,1640080.0,s,1520.0,1520.0
1082,1644640.0,p,1520.0,1520.0
1082,1644640.0,p,1520.0,1520.0
1082,1644640.0,p,1520.0,1520.0
1082,1644640.0,e,1520.0,1520.0
1082,1644640.0,p,1520.0,1520.0
1082,1644640.0,p,1520.0,1520.0
1082,1644640.0,p,1520.0,1520.0
1082,1644640.0,s,1520.0,1520.0
1195,1816400.0,p,1520.0,1520.0
1195,1816400.0,p,1520.0,1520.0
1195,1816400.0,p,1520.0,1520.0
1195,1816400.0,e,1520.0,1520.0
1229,1868080.0,p,1520.0,1520.0
1229,1868080.0,p,1520.0,1520.0
1229,1868080.0,e,1520.0,1520.0
1229,1868080.0,p,1520.0,1520.0
1229,1868080.0,p,1520.0,1520.0
1229,1868080.0,p,1520.0,1520.0
1229,1868080.0,p,1520.0,1520.0
1229,1868080.0,s,1520.0,1520.0
1235,1877200.0,p,1520.0,1520.0
1235,1877200.0,p,1520.0,1520.0
1235,1877200.0,p,1520.0,1520.0
1235,1877200.0,e,1520.0,1520.0
1235,1877200.0,p,1520.0,1520.0
1235,1877200.0,p,1520.0,1520.0
1235,1877200.0,p,1520.0,1520.0
1235,1877200.0,s,1520.0,1520.0
1380,2097600.0,p,1520.0,1520.0
1380,2097600.0,p,1520.0,1520.0
1380,2097600.0,p,1520.0,1520.0
1380,2097600.0,p,1520.0,1520.0
1380,2097600.0,e,1520.0,1520.0
1386,2106720.0,p,1520.0,1520.0
1386,2106720.0,p,1520.0,1520.0
1386,2106720.0,p,1520.0,1520.0
1386,2106720.0,e,1520.0,1520.0
