type,starting_time,finish_time,allocated_resources,job_id,submission_time
idle,0,3,0 1,-1,0
idle,0,35,2 3 4 5,-1,0
idle,0,155,6 7,-1,0
computing,3,155,0 1,1,3
computing,35,183,2 3 4 5,2,35
idle,155,155,0 1,-1,155
computing,155,306,0 1 6 7,3,46
idle,183,183,2 3 4,-1,183
idle,183,306,5,-1,183
computing,183,334,2 3 4,4,60
idle,306,306,0 1,-1,306
idle,306,334,6,-1,306
idle,306,455,7,-1,306
computing,306,455,0 1 5,5,72
idle,334,334,2 3 4,-1,334
computing,334,481,2 3 4 6,6,73
idle,455,455,0 1 5,-1,455
computing,455,604,0 1 5 7,7,79
idle,481,481,2 3 4,-1,481
idle,481,633,6,-1,481
computing,481,633,2 3 4,8,88
idle,604,604,0 1 5,-1,604
idle,604,750,7,-1,604
computing,604,750,0 1 5,9,92
idle,633,633,2 3 4,-1,633
computing,633,781,2 3 4 6,10,95
idle,750,750,0 1 5,-1,750
computing,750,900,0 1 5 7,11,99
idle,781,781,2 3 4 6,-1,781
computing,781,931,2 3 4 6,12,100
idle,900,900,0 1 5,-1,900
idle,900,931,7,-1,900
computing,900,1047,0 1 5,13,104
idle,931,931,2 3 4 6,-1,931
computing,931,1079,2 3,14,113
computing,931,1082,4 6 7,15,113
idle,1047,1047,0 1 5,-1,1047
computing,1047,1195,0 1 5,16,121
idle,1079,1079,2 3,-1,1079
computing,1079,1229,2 3,19,138
idle,1082,1082,4 6 7,-1,1082
computing,1082,1235,4 6 7,17,128
idle,1195,1229,0 1,-1,1195
idle,1195,1235,5,-1,1195
idle,1229,1229,2 3,-1,1229
computing,1229,1380,0 1 2 3,18,137
idle,1235,1235,4 6,-1,1235
idle,1235,1386,7,-1,1235
computing,1235,1386,4 5 6,20,140
idle,1380,1386,0 1 2 3,-1,1380
idle,1386,1386,4 5 6,-1,1386
